п/п;Бригада;Дата;Код;sample;Участок;Тип;ПР;ПК;H;D0;D1;D2;D3;D4;D5;L1;L2;L3;L4;Примечания;Крат_ПР;Крат_ПК;Дубль
252;Коновалов С. А.;06.12.2021;1640-0740;DG66-1640-0740;DG;66;1640;0740;0,5;B;4;3;2;2;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
253;Коновалов С. А.;06.12.2021;1640-0760;DG66-1640-0760;DG;66;1640;0760;0,5;B;4;3;2;2;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
254;Коновалов С. А.;06.12.2021;1640-0780;DG66-1640-0780;DG;66;1640;0780;0,4;B;4;3;2;2;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
255;Коновалов С. А.;06.12.2021;1640-0800;DG66-1640-0800;DG;66;1640;0800;0,4;B;4;3;2;2;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
256;Коновалов С. А.;06.12.2021;1640-0820;DG66-1640-0820;DG;66;1640;0820;0,5;B;4;3;2;2;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
257;Коновалов С. А.;06.12.2021;1640-0840;DG86-1640-0840;DG;86;1640;0840;0,5;B;4;3;2;2;1;3;5;1;0;Три мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
258;Коновалов С. А.;06.12.2021;1640-0860;DG06-1640-0860;DG;06;1640;0860;0,8;B;5;3;2;2;1;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
259;Коновалов С. А.;06.12.2021;1640-0880;DG86-1640-0880;DG;86;1640;0880;0,3;B;4;3;2;2;1;4;5;1;0;Два мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
260;Коновалов С. А.;06.12.2021;1640-0900;DG06-1640-0900;DG;06;1640;0900;0,3;B;5;3;2;2;1;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
261;Коновалов С. А.;06.12.2021;1640-0920;DG06-1640-0920;DG;06;1640;0920;0,7;B;5;3;2;2;1;4;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
262;Коновалов С. А.;06.12.2021;1640-0935;DG06-1640-0935;DG;06;1640;0935;0,6;B;4;3;2;2;2;3;5;1;0;;ИСТИНА;ЛОЖЬ;ЛОЖЬ
263;Коновалов С. А.;06.13.2021;1520-0760;DG06-1520-0760;DG;06;1520;0760;0,4;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
264;Коновалов С. А.;06.13.2021;1520-0740;DG06-1520-0740;DG;06;1520;0740;0,4;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
265;Коновалов С. А.;06.13.2021;1520-0720;DG06-1520-0720;DG;06;1520;0720;0,4;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
266;Коновалов С. А.;06.13.2021;1520-0700;DG06-1520-0700;DG;06;1520;0700;0,4;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
267;Коновалов С. А.;06.13.2021;1520-0680;DG06-1520-0680;DG;06;1520;0680;0,4;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
268;Коновалов С. А.;06.13.2021;1520-0660;DG06-1520-0660;DG;06;1520;0660;0,3;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
269;Коновалов С. А.;06.13.2021;1520-0640;DG06-1520-0640;DG;06;1520;0640;0,3;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
270;Коновалов С. А.;06.13.2021;1520-0620;DG06-1520-0620;DG;06;1520;0620;0,3;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
271;Коновалов С. А.;06.13.2021;1520-0600;DG06-1520-0600;DG;06;1520;0600;0,4;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
272;Коновалов С. А.;06.13.2021;1520-0580;DG06-1520-0580;DG;06;1520;0580;0,3;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
273;Коновалов С. А.;06.13.2021;1520-0560;DG06-1520-0560;DG;06;1520;0560;0,3;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
274;Коновалов С. А.;06.13.2021;1520-0540;DG06-1520-0540;DG;06;1520;0540;0,2;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
275;Коновалов С. А.;06.13.2021;1520-0520;DG06-1520-0520;DG;06;1520;0520;0,3;B;4;3;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
276;Коновалов С. А.;06.13.2021;1520-0500;DG06-1520-0500;DG;06;1520;0500;0,4;B;4;3;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
277;Коновалов С. А.;06.13.2021;1520-0480;DG06-1520-0480;DG;06;1520;0480;0,3;B;4;3;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
278;Коновалов С. А.;06.13.2021;1520-0460;DG06-1520-0460;DG;06;1520;0460;0,3;B;4;3;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
279;Коновалов С. А.;06.13.2021;1520-0440;DG06-1520-0440;DG;06;1520;0440;0,3;B;4;3;3;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
280;Коновалов С. А.;06.13.2021;1540-0440;DG06-1540-0440;DG;06;1540;0440;0,4;B;4;3;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
281;Коновалов С. А.;06.13.2021;1540-0460;DG06-1540-0460;DG;06;1540;0460;0,4;B;4;3;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
282;Коновалов С. А.;06.13.2021;1540-0480;DG06-1540-0480;DG;06;1540;0480;0,4;B;4;3;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
283;Коновалов С. А.;06.13.2021;1540-0500;DG06-1540-0500;DG;06;1540;0500;0,3;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
284;Коновалов С. А.;06.13.2021;1540-0520;DG06-1540-0520;DG;06;1540;0520;0,3;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
285;Коновалов С. А.;06.13.2021;1540-0540;DG06-1540-0540;DG;06;1540;0540;0,3;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
286;Коновалов С. А.;06.13.2021;1540-0560;DG06-1540-0560;DG;06;1540;0560;0,3;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
391;Коновалов С. А.;06.15.2021;1560-1200K;DG06-1560-1200K;DG;06;1560;1200;0,3;B;3;3;2;3;2;3;5;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
409;Коновалов С. А.;06.15.2021;1540-1080K;DG06-1540-1080K;DG;06;1540;1080;0,3;B;4;3;2;2;2;3;5;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
289;Коновалов С. А.;06.13.2021;1540-0600;DG06-1540-0600;DG;06;1540;0600;0,3;B;4;3;2;2;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
290;Коновалов С. А.;06.13.2021;1540-0620;DG06-1540-0620;DG;06;1540;0620;0,3;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
291;Коновалов С. А.;06.13.2021;1540-0640;DG06-1540-0640;DG;06;1540;0640;0,3;B;4;3;2;3;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
418;Коновалов С. А.;06.15.2021;1540-1240K;DG06-1540-1240K;DG;06;1540;1240;0,6;B;4;3;2;2;2;3;5;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
470;Каргополов В. Ю.;06.15.2021;1460-1340K;DG66-1460-1340K;DG;66;1460;1340;0,4;B;4;6;3;1;1;1;5;1;0;(+Контрольная);ИСТИНА;ИСТИНА;ЛОЖЬ
294;Коновалов С. А.;06.13.2021;1540-0680;DG06-1540-0680;DG;06;1540;0680;0,5;B;4;3;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
295;Коновалов С. А.;06.13.2021;1540-0700;DG06-1540-0700;DG;06;1540;0700;0,3;B;4;3;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
296;Коновалов С. А.;06.13.2021;1540-0720;DG06-1540-0720;DG;06;1540;0720;0,4;B;4;3;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
297;Коновалов С. А.;06.13.2021;1540-0740;DG06-1540-0740;DG;06;1540;0740;0,4;B;4;3;2;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
298;Коновалов С. А.;06.13.2021;1540-0760;DG06-1540-0760;DG;06;1540;0760;0,5;B;4;3;2;2;2;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
299;Каргополов В. Ю.;06.11.2021;1680-1320;-1680-1320;;;1680;1320;;;;;;;;;;;;Проба не отбиралась, населённый пункт;ИСТИНА;ИСТИНА;ЛОЖЬ
300;Каргополов В. Ю.;06.11.2021;1680-1300;-1680-1300;;;1680;1300;;;;;;;;;;;;Проба не отбиралась, населённый пункт;ИСТИНА;ИСТИНА;ЛОЖЬ
301;Каргополов В. Ю.;06.11.2021;1680-1280;DG66-1680-1280;DG;66;1680;1280;0,4;B;4;3;3;1;1;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
302;Каргополов В. Ю.;06.11.2021;1680-1260;DG66-1680-1260;DG;66;1680;1260;0,6;B-G;4;3;3;1;1;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
303;Каргополов В. Ю.;06.11.2021;1680-1240;DG66-1680-1240;DG;66;1680;1240;0,5;B-G;4;3;3;1;1;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
304;Каргополов В. Ю.;06.11.2021;1680-1220;DG66-1680-1220;DG;66;1680;1220;0,4;B-G;4;3;3;1;1;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
305;Каргополов В. Ю.;06.11.2021;1680-1200;DG66-1680-1200;DG;66;1680;1200;0,4;B;4;6;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
306;Каргополов В. Ю.;06.11.2021;1680-1180;DG66-1680-1180;DG;66;1680;1180;0,4;B;4;3;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
307;Каргополов В. Ю.;06.11.2021;1680-1160;DG06-1680-1160;DG;06;1680;1160;0,3;B;4;6;3;1;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
308;Каргополов В. Ю.;06.11.2021;1680-1140;DG06-1680-1140;DG;06;1680;1140;0,3;B;4;5;3;1;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
