Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0080-0580;51.47558 ;118.10026;828 m;Flag, Red;;;;;;;;;;;;;;
0080-0600;51.47473 ;118.10343;810 m;Flag, Red;;;;;;;;;;;;;;
0080-0620;51.47385 ;118.10584;822 m;Flag, Red;;;;;;;;;;;;;;
0080-0640;51.47289 ;118.10804;829 m;Flag, Red;;;;;;;;;;;;;;
0080-0660;51.47187 ;118.11019;815 m;Flag, Green;;;;;;;;;;;;;;
0080-0680;51.47197 ;118.11274;793 m;Flag, Green;;;;;;;;;;;;;;
0080-0700;51.46951 ;118.11447;792 m;Flag, Green;;;;;;;;;;;;;;
0080-0720;51.46853 ;118.11754;789 m;Flag, Green;;;;;;;;;;;;;;
0080-0740;51.46764 ;118.11992;795 m;Flag, Green;;;;;;;;;;;;;;
0080-0760;51.46672 ;118.12196;798 m;Flag, Green;;;;;;;;;;;;;;
0080-0780;51.46604 ;118.12411;804 m;Flag, Red;;;;;;;;;;;;;;
0080-0800;51.46513 ;118.12657;813 m;Flag, Red;;;;;;;;;;;;;;
0080-0820;51.46441 ;118.12824;821 m;Flag, Red;;;;;;;;;;;;;;
0080-0840;51.46393 ;118.13266;827 m;Flag, Red;;;;;;;;;;;;;;
0080-0860;51.46315 ;118.13592;870 m;Flag, Red;;;;;;;;;;;;;;
0080-0880;51.46173 ;118.13726;860 m;Flag, Red;;;;;;;;;;;;;;
0080-0900;51.46103 ;118.14006;834 m;Flag, Red;;;;;;;;;;;;;;
0080-0920;51.46004 ;118.14204;808 m;Flag, Red;;;;;;;;;;;;;;
0080-0940;51.45965 ;118.14395;824 m;Flag, Red;;;;;;;;;;;;;;
0080-0960;51.45774 ;118.14870;838 m;Flag, Red;;;;;;;;;;;;;;
0080-0960K;51.45774 ;118.14870;838 m;Waypoint;;;;;;;;;;;;;;
0080-0980;51.45713 ;118.14975;826 m;Flag, Red;;;;;;;;;;;;;;
0080-1000;51.45628 ;118.15236;794 m;Flag, Red;;;;;;;;;;;;;;
0080-1020;51.45534 ;118.15473;773 m;Flag, Red;;;;;;;;;;;;;;
0080-1020K;51.45534 ;118.15473;773 m;Waypoint;;;;;;;;;;;;;;
0080-1040;51.45443 ;118.15731;758 m;Flag, Red;;;;;;;;;;;;;;
0080-1060;51.45351 ;118.16025;753 m;Flag, Red;;;;;;;;;;;;;;
0080-1080;51.45350 ;118.16211;752 m;Flag, Red;;;;;;;;;;;;;;
0080-1080K;51.45350 ;118.16211;752 m;Waypoint;;;;;;;;;;;;;;
0080-1100;51.45176 ;118.16466;755 m;Flag, Red;;;;;;;;;;;;;;
0080-1120;51.45065 ;118.16774;767 m;Flag, Red;;;;;;;;;;;;;;
0080-1120K;51.45065 ;118.16774;767 m;Waypoint;;;;;;;;;;;;;;Категория 2
0080-1140;51.44982 ;118.16970;770 m;Flag, Red;;;;;;;;;;;;;;
0080-1160;51.44896 ;118.17201;768 m;Flag, Red;;;;;;;;;;;;;;
0080-1160K;51.44896 ;118.17201;768 m;Waypoint;;;;;;;;;;;;;;Категория 2
0080-1180;51.44793 ;118.17463;774 m;Flag, Red;;;;;;;;;;;;;;
0080-1200;51.44676 ;118.17750;782 m;Flag, Red;;;;;;;;;;;;;;
0080-1220;51.44623 ;118.17951;789 m;Flag, Red;;;;;;;;;;;;;;
0080-1240;51.44536 ;118.18246;794 m;Flag, Red;;;;;;;;;;;;;;
0080-1260;51.44439 ;118.18458;785 m;Flag, Red;;;;;;;;;;;;;;
0080-1280;51.44343 ;118.18694;775 m;Flag, Red;;;;;;;;;;;;;;
0080-1300;51.44242 ;118.18947;766 m;Flag, Red;;;;;;;;;;;;;;
0080-1320;51.44147 ;118.19184;770 m;Flag, Red;;;;;;;;;;;;;;
0080-1340;51.44064 ;118.19453;767 m;Flag, Red;;;;;;;;;;;;;;
0080-1360;51.43984 ;118.19712;746 m;Flag, Red;;;;;;;;;;;;;;
0080-1380;51.43876 ;118.19926;739 m;Flag, Red;;;;;;;;;;;;;;
0080-1400;51.43786 ;118.20180;728 m;Flag, Red;;;;;;;;;;;;;;
0080-1420;51.43698 ;118.20426;721 m;Flag, Red;;;;;;;;;;;;;;
